Name,Abundance,Canopy,Carbon,Height
Acer pseudoplatanus,171,23.79181286549705,240.8157894736843,7.599415204678363
Cupressus,399,4.490726817042577,496.7694235588974,8.742857142857087
Acer platanoides,157,31.02229299363065,185.7095541401274,6.899999999999999
Sophora japonica,376,39.656648936170185,214.26223404255344,7.727925531914893
Tilia cordata,509,19.849115913556044,129.60235756385072,6.408644400785857
Acer campestre,458,11.875764192139782,80.45807860262026,5.247161572052401
Acer tataricum ssp. ginnala,6,3.1,7.5,4.0
Fagus,22,33.78181818181819,486.8136363636362,6.2727272727272725
Acer opalus,1,3.1,13.5,5.0
Sorbus,11,6.363636363636362,124.2090909090909,4.181818181818182
Carpinus betulus,536,13.545895522388207,117.50018656716453,6.2436567164179095
Prunus avium,208,14.20528846153844,198.62019230769252,5.269711538461537
Fraxinus,69,14.288405797101449,67.15942028985503,5.565217391304348
Prunus serrulata,20,14.520000000000007,464.28999999999996,4.575
Parrotia persica,272,6.696323529411736,38.088235294117624,4.667279411764706
Ostrya carpinifolia,211,13.715165876777233,229.99194312796197,6.985781990521327
Celtis australis,1028,42.336186770427965,68.80982490272345,8.261575875486388
Robinia pseudoacacia,269,32.61561338289967,386.64832713754606,11.303717472118949
Betula pendula,130,22.091538461538416,186.79615384615406,8.258461538461537
Picea abies,130,25.848461538461542,377.20692307692315,11.907692307692304
Quercus robur,272,16.781617647058837,118.60367647058828,6.033088235294118
Pinus nigra,335,23.548955223880736,201.7602985074629,10.684477611940304
Pyrus calleryana,167,21.663473053892215,96.92814371257478,7.209580838323354
Liriodendron tulipifera,301,11.181727574750791,99.1963455149501,5.677740863787376
Acer,73,45.65753424657534,714.2821917808218,9.246575342465754
Juglans,3,70.56666666666666,174.29999999999998,8.766666666666667
Acacia,1,78.5,160.3,14.0
Crataegus,31,3.699999999999998,25.07741935483872,3.693548387096774
Koelreuteria paniculata,14,39.15714285714286,400.18571428571425,6.921428571428572
Pinus,4,40.599999999999994,363.59999999999997,10.7
Abies nordmanniana,1,28.3,509.1,8.0
Prunus cerasifera,350,13.30057142857147,159.64200000000002,4.863714285714285
Sorbus aucuparia,16,5.6812499999999995,37.512499999999996,5.0
Platanus x hispanica,502,102.36274900398422,2157.9948207171296,12.52191235059761
Corylus colurna,88,16.953409090909066,161.9875,5.913636363636363
Morus alba,76,33.07236842105265,79.46315789473688,5.269736842105263
Cupressus sempervirens,151,5.078145695364235,264.19271523178804,7.9801324503311255
Diospyros kaki,7,23.385714285714283,133.29999999999998,7.671428571428572
Fraxinus ornus,131,22.174045801526738,105.78931297709941,6.741221374045811
Fraxinus americana,36,9.036111111111115,84.06111111111112,5.805555555555555
Fraxinus excelsior,144,27.93055555555551,126.44861111111112,6.197916666666667
Malus sylvestris,2,9.85,192.25,4.0
Morus nigra,92,36.09565217391305,63.32934782608698,4.510869565217392
Populus nigra,110,48.512727272727325,2046.789090909091,18.682727272727277
Prunus domestica,4,7.1,63.900000000000006,5.0
Prunus,38,11.586842105263168,108.59999999999995,4.644736842105263
Tilia tomentosa,4,7.2250000000000005,11.2,4.75
Tilia x europaea,471,33.697876857749485,862.8326963906594,8.619745222929936
Ulmus,51,81.96274509803928,2120.794117647057,12.611764705882347
Pyrus communis,21,5.666666666666664,153.46190476190478,5.095238095238095
Magnolia x soulangeana,13,37.06153846153847,43.89230769230768,4.8076923076923075
Tilia platyphyllos,61,37.475409836065566,256.43114754098355,8.311475409836065
Tilia,23,33.939130434782605,324.0217391304348,8.173913043478262
Pinus sylvestris,30,17.690000000000012,218.14666666666665,7.693333333333333
Cercis siliquastrum,56,11.376785714285722,314.8857142857143,4.473214285714286
Juglans nigra,14,19.55,98.37142857142858,5.0
Malus,9,9.777777777777777,39.144444444444446,3.888888888888889
Metasequoia glyptostroboides,8,30.624999999999996,196.825,11.375
Quercus rubra,148,23.429054054054053,197.31621621621625,7.010135135135135
Alnus,74,8.641891891891902,27.37297297297295,5.885135135135135
Salix babylonica,9,26.144444444444442,806.6555555555556,8.555555555555555
Thuja occidentalis,2,11.350000000000001,241.14999999999998,8.0
Platanus x acerifolia 'Bloodgood',220,49.921818181818274,914.3122727272728,10.773181818181815
Prunus dulcis,21,4.752380952380953,46.9952380952381,5.142857142857143
Sequoia sempervirens,1,12.6,119.1,10.0
Cedrus atlantica,70,65.0428571428572,1097.9028571428569,17.13142857142857
Ulmus pumila,14,105.07142857142857,1785.2071428571428,16.714285714285715
Cedrus deodara,246,76.58658536585355,1487.7333333333324,18.9219512195122
Populus alba,22,84.41363636363634,1704.0454545454545,15.80909090909091
Aesculus hippocastanum,581,40.886919104991165,754.9240963855426,8.411703958691911
Catalpa bignonioides,18,58.02777777777778,339.4944444444444,8.777777777777779
Quercus ilex,26,18.200000000000014,254.34999999999994,6.0
Pinus wallichiana,10,48.18,673.7,19.5
Fraxinus angustifolia,132,11.982575757575741,64.72727272727272,5.1454545454545455
Juglans regia,7,63.17142857142857,420.92857142857144,17.2
Quercus,19,21.77368421052632,235.33157894736843,7.56842105263158
Nerium oleander,7,3.028571428571429,16.842857142857145,3.5714285714285716
Lagerstroemia,1,19.6,551.2,20.0
Liquidambar styraciflua,141,16.278014184397133,99.62695035460995,6.272340425531914
Salix,7,24.257142857142856,1032.0142857142857,16.285714285714285
Taxodium distichum,12,25.275000000000006,457.6666666666667,13.416666666666666
Fagus sylvatica,120,25.3958333333333,702.054166666667,7.086666666666665
Ilex,17,13.600000000000003,127.42352941176469,6.488235294117647
Platanus occidentalis,20,117.05499999999999,981.0700000000003,14.8
Ulmus minor,46,62.654347826086955,2542.045652173914,10.98913043478261
Pinus strobus,24,37.141666666666666,350.80833333333334,13.366666666666667
Acer rubrum,24,15.820833333333338,359.82083333333327,6.166666666666667
Fraxinus angustifolia ssp. Oxycarpa,2,4.45,38.2,6.5
Sambucus nigra,17,11.1,78.63529411764705,5.200000000000001
Acer negundo,178,46.40112359550573,299.4387640449437,8.658988764044947
Alnus glutinosa,6,14.933333333333332,92.43333333333334,8.833333333333334
