Name,Canopy,Carbon,Height
Picea abies,50.3,268.4,12.0
Acer platanoides,50.3,239.0,12.0
Quercus robur,113.1,319.9,12.0
Pinus nigra,50.3,234.7,13.0
Pyrus calleryana,12.6,59.2,6.0
Pyrus calleryana,7.1,50.6,5.0
Pyrus calleryana,7.1,50.6,5.0
Pyrus calleryana,7.1,29.3,5.0
Liriodendron tulipifera,12.6,51.7,7.0
Liriodendron tulipifera,12.6,44.7,7.0
Liriodendron tulipifera,12.6,59.3,7.0
Liriodendron tulipifera,12.6,59.3,7.0
Liriodendron tulipifera,12.6,59.3,7.0
Acer campestre,50.3,90.3,11.0
Liriodendron tulipifera,7.1,27.1,5.0
Pinus nigra,63.6,271.0,15.0
Liriodendron tulipifera,12.6,76.5,12.0
Acer,28.3,93.9,8.0
Juglans,50.3,137.0,12.0
Acacia,78.5,160.3,14.0
Crataegus,7.1,12.6,3.0
Crataegus,7.1,12.6,3.0
Crataegus,7.1,16.3,3.0
Crataegus,7.1,16.3,3.0
Crataegus,7.1,16.3,3.5
Crataegus,7.1,16.3,3.5
Crataegus,3.1,12.6,3.0
Crataegus,3.1,16.3,3.0
Crataegus,1.8,9.4,3.0
Crataegus,1.8,9.4,3.0
Crataegus,3.1,9.4,3.0
Crataegus,1.8,9.4,3.0
Crataegus,1.8,9.4,3.0
Crataegus,1.8,9.4,3.0
Crataegus,1.8,9.4,3.0
Crataegus,1.8,9.4,3.0
Crataegus,1.8,9.4,3.0
Koelreuteria paniculata,19.6,86.7,5.0
Koelreuteria paniculata,12.6,64.1,4.0
Celtis australis,12.6,17.5,4.0
Celtis australis,12.6,15.6,4.0
Celtis australis,12.6,15.6,4.0
Celtis australis,12.6,15.6,4.0
Celtis australis,12.6,15.6,4.0
Celtis australis,12.6,13.7,4.0
Pinus,113.1,855.8,15.0
Tilia cordata,28.3,39.0,8.0
Tilia cordata,28.3,39.0,8.0
Tilia cordata,50.3,118.3,10.0
Abies nordmanniana,28.3,509.1,8.0
Celtis australis,153.9,86.1,9.0
Celtis australis,113.1,64.1,8.0
Celtis australis,113.1,64.1,8.0
Prunus cerasifera,50.3,361.2,10.0
Cupressus,0.8,185.8,10.0
Cupressus,3.1,829.6,14.0
Cupressus,3.1,1390.0,14.0
Sorbus,0.8,18.1,4.0
Sorbus aucuparia,0.8,11.4,4.0
Platanus x hispanica,63.6,593.0,15.0
Corylus colurna,38.5,186.0,8.0
Corylus colurna,78.5,354.3,11.0
Prunus serrulata,12.6,48.0,4.0
Prunus serrulata,4.9,25.3,3.5
Prunus serrulata,7.1,92.2,4.0
Prunus serrulata,12.6,154.3,5.0
Pyrus calleryana,7.1,29.3,6.0
Pyrus calleryana,12.6,59.2,6.5
Pyrus calleryana,4.9,14.5,5.0
Pyrus calleryana,12.6,42.7,7.0
Pyrus calleryana,7.1,35.6,6.0
Pyrus calleryana,12.6,50.6,6.5
Pyrus calleryana,12.6,59.2,7.0
Pyrus calleryana,12.6,29.3,6.5
Pyrus calleryana,12.6,29.3,6.5
Pyrus calleryana,12.6,42.7,6.5
Pyrus calleryana,12.6,42.7,6.5
Pyrus calleryana,12.6,29.3,6.5
Pyrus calleryana,12.6,68.7,7.0
Pyrus calleryana,7.1,59.2,6.0
Pyrus calleryana,1.8,14.5,4.0
Pyrus calleryana,12.6,35.6,5.0
Pyrus calleryana,12.6,35.6,6.0
Pyrus calleryana,12.6,59.2,7.0
Pyrus calleryana,12.6,59.2,7.0
Pyrus calleryana,3.1,29.3,4.5
Pyrus calleryana,12.6,29.3,5.0
Pyrus calleryana,12.6,90.2,7.0
Pyrus calleryana,3.1,14.5,4.0
Pyrus calleryana,1.8,10.9,3.5
Pyrus calleryana,12.6,79.0,7.0
Pyrus calleryana,7.1,35.6,6.0
Tilia cordata,28.3,60.0,7.0
Tilia cordata,28.3,60.0,7.0
Tilia cordata,28.3,60.0,7.0
Tilia cordata,28.3,60.0,7.0
Tilia cordata,28.3,60.0,7.0
Tilia cordata,19.6,39.0,6.0
Tilia cordata,19.6,39.0,6.0
Tilia cordata,12.6,39.0,6.0
Tilia cordata,19.6,39.0,6.0
Tilia cordata,28.3,68.2,7.0
Tilia cordata,28.3,68.2,7.0
Tilia cordata,28.3,68.2,7.0
Tilia cordata,19.6,33.2,7.0
Acer campestre,63.6,56.6,8.0
Tilia cordata,12.6,39.0,6.0
Tilia cordata,12.6,15.0,6.0
Tilia cordata,28.3,60.0,8.0
Tilia cordata,12.6,39.0,8.0
Tilia cordata,12.6,39.0,8.0
Tilia cordata,12.6,39.0,8.0
Tilia cordata,12.6,60.0,8.0
Tilia cordata,12.6,60.0,8.0
Tilia cordata,7.1,11.7,5.0
Tilia cordata,12.6,52.4,7.0
Tilia cordata,7.1,27.9,5.0
Morus alba,50.3,93.3,6.0
Morus alba,50.3,93.3,6.0
Morus alba,38.5,46.6,6.0
Morus alba,78.5,113.2,7.0
Morus alba,28.3,53.1,6.0
Morus alba,28.3,53.1,6.0
Morus alba,28.3,53.1,6.0
Morus alba,28.3,53.1,6.0
Morus alba,28.3,53.1,6.0
Morus alba,28.3,53.1,6.0
Morus alba,28.3,67.6,6.0
Morus alba,38.5,93.3,7.0
Morus alba,28.3,67.6,6.0
Morus alba,28.3,67.6,6.0
Morus alba,38.5,124.0,7.0
Morus alba,28.3,35.0,6.0
Morus alba,50.3,187.0,8.0
Tilia cordata,12.6,27.9,7.0
Pyrus calleryana,3.1,18.8,5.0
Pyrus calleryana,7.1,29.3,6.0
Pyrus calleryana,7.1,29.3,6.0
Pyrus calleryana,7.1,29.3,6.0
Acer pseudoplatanus,4.9,20.9,5.0
Carpinus betulus,7.1,115.2,12.0
Carpinus betulus,7.1,115.2,12.0
Carpinus betulus,7.1,115.2,12.0
Carpinus betulus,7.1,115.2,8.0
Carpinus betulus,7.1,115.2,8.0
Carpinus betulus,7.1,115.2,8.0
Carpinus betulus,7.1,26.5,6.0
Carpinus betulus,7.1,26.5,6.0
Carpinus betulus,7.1,26.5,6.0
Carpinus betulus,7.1,26.5,6.0
Carpinus betulus,7.1,26.5,6.0
Carpinus betulus,3.1,4.8,6.0
Carpinus betulus,3.1,4.8,6.0
Carpinus betulus,3.1,4.8,6.0
Carpinus betulus,3.1,4.8,6.0
Carpinus betulus,3.1,4.8,6.0
Carpinus betulus,3.1,4.8,6.0
Carpinus betulus,3.1,4.8,6.0
Carpinus betulus,7.1,26.5,8.0
Carpinus betulus,7.1,115.2,6.0
Carpinus betulus,7.1,26.5,4.0
Carpinus betulus,12.6,189.3,15.0
Carpinus betulus,12.6,406.9,15.0
Carpinus betulus,7.1,26.5,15.0
Carpinus betulus,7.1,26.5,8.0
Carpinus betulus,12.6,115.2,15.0
Carpinus betulus,7.1,26.5,8.0
Carpinus betulus,12.6,61.7,8.0
Carpinus betulus,1.8,13.2,4.0
Carpinus betulus,1.8,13.2,4.0
Carpinus betulus,1.8,13.2,4.0
Carpinus betulus,1.8,13.2,4.0
Carpinus betulus,1.8,13.2,4.0
Carpinus betulus,1.8,13.2,4.0
Carpinus betulus,1.8,13.2,4.0
Carpinus betulus,1.8,13.2,4.0
Carpinus betulus,1.8,13.2,4.0
Carpinus betulus,1.8,13.2,4.0
Carpinus betulus,1.8,13.2,4.0
Celtis australis,7.1,17.5,10.0
Celtis australis,7.1,17.5,10.0
Celtis australis,7.1,28.7,12.0
Celtis australis,19.6,308.0,18.0
Celtis australis,7.1,28.7,8.0
Celtis australis,7.1,28.7,8.0
Celtis australis,7.1,28.7,8.0
Celtis australis,7.1,17.5,6.0
Cupressus sempervirens,0.5,72.1,4.0
Cupressus sempervirens,1.1,72.4,6.0
Cupressus sempervirens,0.8,33.9,8.0
Cupressus sempervirens,1.1,127.1,12.0
Diospyros kaki,12.6,185.4,10.0
Fraxinus,3.1,17.7,4.0
Fraxinus,3.1,37.1,5.0
Fraxinus ornus,7.1,14.5,6.0
Fraxinus americana,7.1,100.4,8.0
Fraxinus americana,3.1,11.4,4.0
Fraxinus americana,3.1,3.7,6.0
Fraxinus americana,7.1,19.3,8.0
Fraxinus americana,7.1,19.3,8.0
Fraxinus americana,3.1,3.7,5.0
Fraxinus americana,7.1,100.4,8.0
Fraxinus americana,7.1,100.4,8.0
Fraxinus americana,7.1,50.7,6.0
Fraxinus americana,7.1,100.4,8.0
Fraxinus americana,7.1,19.3,6.0
Fraxinus americana,7.1,19.3,6.0
Fraxinus americana,7.1,100.4,8.0
Fraxinus americana,7.1,19.3,6.0
Fraxinus americana,7.1,100.4,8.0
Fraxinus americana,7.1,100.4,8.0
Fraxinus americana,7.1,100.4,8.0
Fraxinus americana,7.1,19.3,6.0
Fraxinus americana,7.1,100.4,8.0
Fraxinus americana,7.1,19.3,6.0
Fraxinus ornus,7.1,92.6,6.7
Fraxinus excelsior,12.6,81.6,6.0
Fraxinus excelsior,1.8,7.9,5.0
Fraxinus excelsior,1.8,7.9,5.0
Fraxinus excelsior,1.8,7.9,5.0
Fraxinus excelsior,1.8,7.9,5.0
Fraxinus excelsior,1.8,7.9,5.0
Fraxinus excelsior,1.8,7.9,5.0
Malus sylvestris,12.6,280.5,4.0
Malus sylvestris,7.1,104.0,4.0
Morus nigra,7.1,3.1,4.0
Morus nigra,7.1,3.1,4.0
Morus nigra,7.1,3.1,4.0
Morus nigra,7.1,3.1,4.0
Morus nigra,12.6,20.1,4.0
Populus nigra,19.6,52.3,12.0
Populus nigra,7.1,118.0,18.0
Populus nigra,7.1,118.0,18.0
Populus nigra,12.6,67.9,14.0
Populus nigra,12.6,67.9,20.0
Populus nigra,12.6,67.9,20.0
Populus nigra,12.6,67.9,20.0
Populus nigra,12.6,67.9,20.0
Populus nigra,12.6,67.9,20.0
Populus nigra,12.6,185.6,20.0
Populus nigra,12.6,67.9,20.0
Prunus domestica,7.1,68.0,4.0
Prunus,7.1,68.0,8.0
Prunus,7.1,25.3,8.0
Prunus avium,12.6,48.2,6.0
Prunus avium,12.6,33.1,6.0
Prunus avium,12.6,12.3,5.0
Prunus avium,12.6,12.3,4.0
Prunus avium,12.6,308.7,5.0
Prunus domestica,7.1,137.0,4.0
Prunus avium,12.6,8.9,5.0
Prunus avium,12.6,8.9,5.0
Prunus avium,7.1,115.0,12.0
Prunus avium,7.1,198.0,12.0
Prunus avium,7.1,21.3,3.5
Prunus avium,12.6,8.9,5.0
Prunus avium,7.1,115.0,6.0
Prunus avium,7.1,21.3,6.0
Prunus avium,7.1,21.3,6.0
Prunus domestica,7.1,25.3,6.0
Prunus avium,12.6,8.9,5.0
Prunus avium,12.6,8.9,5.0
Prunus avium,12.6,8.9,5.0
Prunus domestica,7.1,25.3,6.0
Prunus avium,7.1,57.1,8.0
Prunus avium,7.1,115.0,6.0
Prunus avium,12.6,115.0,8.0
Quercus robur,3.1,27.3,2.5
Quercus robur,12.6,196.1,15.0
Robinia pseudoacacia,7.1,35.3,10.0
Robinia pseudoacacia,7.1,35.3,10.0
Robinia pseudoacacia,7.1,35.3,10.0
Robinia pseudoacacia,7.1,68.9,14.0
Robinia pseudoacacia,7.1,35.3,14.0
Robinia pseudoacacia,7.1,68.9,10.0
Robinia pseudoacacia,7.1,68.9,10.0
Robinia pseudoacacia,7.1,629.1,18.0
Sophora japonica,28.3,4.6,6.0
Sophora japonica,9.6,24.3,5.0
Sophora japonica,4.9,20.3,4.0
Sophora japonica,7.1,24.3,5.0
Sophora japonica,9.6,24.3,5.0
Sophora japonica,9.6,24.3,5.0
Sophora japonica,9.6,24.3,5.0
Sophora japonica,9.6,24.3,5.0
Sophora japonica,9.6,39.1,5.0
Sophora japonica,12.6,39.1,5.0
Sophora japonica,7.1,16.7,4.0
Sophora japonica,7.1,16.7,4.0
Sophora japonica,7.1,16.7,4.0
Tilia tomentosa,3.1,3.4,4.0
Tilia tomentosa,3.1,3.4,4.0
Tilia tomentosa,3.1,3.4,4.0
Tilia x europaea,4.9,15.4,5.0
Tilia x europaea,4.9,15.4,5.0
Tilia x europaea,4.9,15.4,5.0
Tilia x europaea,4.9,15.4,5.0
Tilia x europaea,4.9,15.4,5.0
Tilia x europaea,4.9,15.4,5.0
Tilia x europaea,28.3,183.2,6.0
Tilia x europaea,3.1,54.9,5.0
Tilia x europaea,50.3,685.5,8.0
Tilia x europaea,50.3,685.5,8.0
Tilia x europaea,50.3,685.5,8.0
Tilia x europaea,24.3,66.3,12.0
Tilia x europaea,24.3,66.3,12.0
Tilia x europaea,24.3,66.3,12.0
Tilia x europaea,24.3,66.3,12.0
Tilia x europaea,24.3,66.3,12.0
Tilia x europaea,24.3,66.3,12.0
Tilia x europaea,24.3,66.3,12.0
Tilia x europaea,24.3,66.3,12.0
Tilia x europaea,24.3,54.9,12.0
Tilia x europaea,24.3,54.9,12.0
Tilia x europaea,24.3,54.9,12.0
Tilia x europaea,7.1,44.7,5.0
Tilia x europaea,7.1,79.0,12.0
Tilia x europaea,12.6,310.0,20.0
Tilia x europaea,7.1,93.0,10.0
Tilia x europaea,7.1,35.7,10.0
Ulmus,7.1,357.4,6.0
Pyrus communis,7.1,107.4,5.0
Pyrus communis,12.6,586.0,4.0
